Date,CDS
2010-02-03,12.678202629089355
2010-02-04,12.678202629089355
2010-02-05,12.678202629089355
2010-02-06,12.678202629089355
2010-02-07,12.678202629089355
2010-02-08,12.678202629089355
2010-02-09,11.827351570129395
2010-02-10,11.827351570129395
2010-02-11,11.827351570129395
2010-02-12,11.517443656921387
2010-02-13,11.517443656921387
2010-02-14,11.517443656921387
2010-02-15,11.517443656921387
2010-02-16,11.765371322631836
2010-02-17,12.193615913391113
2010-02-18,12.199247360229492
2010-02-19,12.086552619934082
2010-02-20,12.086552619934082
2010-02-21,12.086552619934082
2010-02-22,12.086552619934082
2010-02-23,12.086552619934082
2010-02-24,12.069649696350098
2010-02-25,11.973858833312988
2010-02-26,12.154167175292969
2010-02-27,12.154167175292969
2010-02-28,12.154167175292969
2010-03-01,11.96822452545166
2010-03-02,11.96822452545166
2010-03-03,12.419004440307617
2010-03-04,12.419004440307617
2010-03-05,12.419004440307617
2010-03-06,12.419004440307617
2010-03-07,12.419004440307617
2010-03-08,12.419004440307617
2010-03-09,12.419004440307617
2010-03-10,12.419004440307617
2010-03-11,12.419004440307617
2010-03-12,12.419004440307617
2010-03-13,12.419004440307617
2010-03-14,12.419004440307617
2010-03-15,12.419004440307617
2010-03-16,12.419004440307617
2010-03-17,12.419004440307617
2010-03-18,12.419004440307617
2010-03-19,12.835976600646973
2010-03-20,12.835976600646973
2010-03-21,12.835976600646973
2010-03-22,12.593681335449219
2010-03-23,12.847244262695312
2010-03-24,12.847244262695312
2010-03-25,12.847244262695312
2010-03-26,12.847244262695312
2010-03-27,12.847244262695312
2010-03-28,12.847244262695312
2010-03-29,12.847244262695312
2010-03-30,12.847244262695312
2010-03-31,12.847244262695312
2010-04-01,12.847244262695312
2010-04-02,12.847244262695312
2010-04-03,12.847244262695312
2010-04-04,12.847244262695312
2010-04-05,13.309293746948242
2010-04-06,13.309293746948242
2010-04-07,13.309293746948242
2010-04-08,12.959939956665039
2010-04-09,13.314932823181152
2010-04-10,13.314932823181152
2010-04-11,13.314932823181152
2010-04-12,13.500872611999512
2010-04-13,13.523414611816406
2010-04-14,13.523414611816406
2010-04-15,13.523414611816406
2010-04-16,13.3543701171875
2010-04-17,13.3543701171875
2010-04-18,13.3543701171875
2010-04-19,13.179695129394531
2010-04-20,13.179695129394531
2010-04-21,13.179695129394531
2010-04-22,12.757087707519531
2010-04-23,12.802166938781738
2010-04-24,12.802166938781738
2010-04-25,12.802166938781738
2010-04-26,12.802166938781738
2010-04-27,12.249958992004395
2010-04-28,12.199247360229492
2010-04-29,12.424635887145996
2010-04-30,12.424635887145996
2010-05-01,12.424635887145996
2010-05-02,12.424635887145996
2010-05-03,12.424635887145996
2010-05-04,11.686484336853027
2010-05-05,11.308954238891602
2010-05-06,10.446840286254883
2010-05-07,10.373589515686035
2010-05-08,10.373589515686035
2010-05-09,10.373589515686035
2010-05-10,11.703387260437012
2010-05-11,11.53997802734375
2010-05-12,11.53997802734375
2010-05-13,11.43292236328125
2010-05-14,10.796194076538086
2010-05-15,10.796194076538086
2010-05-16,10.796194076538086
2010-05-17,10.91452407836914
2010-05-18,10.677863121032715
2010-05-19,10.660957336425781
2010-05-20,10.37922191619873
2010-05-21,10.706034660339355
2010-05-22,10.706034660339355
2010-05-23,10.706034660339355
2010-05-24,10.706034660339355
2010-05-25,10.255256652832031
2010-05-26,10.114387512207031
2010-05-27,10.728578567504883
2010-05-28,10.536994934082031
2010-05-29,10.536994934082031
2010-05-30,10.536994934082031
2010-05-31,10.536994934082031
2010-06-01,10.463741302490234
2010-06-02,10.627150535583496
2010-06-03,10.598977088928223
2010-06-04,9.905901908874512
2010-06-05,9.905901908874512
2010-06-06,9.905901908874512
2010-06-07,9.843918800354004
2010-06-08,9.92844009399414
2010-06-09,9.91153621673584
2010-06-10,10.480646133422852
2010-06-11,10.576435089111328
2010-06-12,10.576435089111328
2010-06-13,10.576435089111328
2010-06-14,10.768020629882812
2010-06-15,11.201897621154785
2010-06-16,11.207531929016113
2010-06-17,11.2582426071167
2010-06-18,11.33149528503418
2010-06-19,11.33149528503418
2010-06-20,11.33149528503418
2010-06-21,11.36530590057373
2010-06-22,11.128643035888672
2010-06-23,11.190688133239746
2010-06-24,10.963004112243652
2010-06-25,10.968696594238281
2010-06-26,10.968696594238281
2010-06-27,10.968696594238281
2010-06-28,10.940234184265137
2010-06-29,10.490559577941895
2010-06-30,10.382407188415527
2010-07-01,10.536094665527344
2010-07-02,10.59301471710205
2010-07-03,10.59301471710205
2010-07-04,10.59301471710205
2010-07-05,10.59301471710205
2010-07-06,10.775164604187012
2010-07-07,10.775164604187012
2010-07-08,11.537907600402832
2010-07-09,11.628978729248047
2010-07-10,11.628978729248047
2010-07-11,11.628978729248047
2010-07-12,11.566370010375977
2010-07-13,11.942047119140625
2010-07-14,11.91358470916748
2010-07-15,11.879435539245605
2010-07-16,11.463909149169922
2010-07-17,11.463909149169922
2010-07-18,11.463909149169922
2010-07-19,11.498058319091797
2010-07-20,11.640365600585938
2010-07-21,11.418370246887207
2010-07-22,11.95343017578125
2010-07-23,12.078655242919922
2010-07-24,12.078655242919922
2010-07-25,12.078655242919922
2010-07-26,12.23803424835205
2010-07-27,12.716168403625488
2010-07-28,12.642172813415527
2010-07-29,12.710482597351074
2010-07-30,12.579562187194824
2010-07-31,12.579562187194824
2010-08-01,12.579562187194824
2010-08-02,13.25692367553711
2010-08-03,13.262613296508789
2010-08-04,13.182927131652832
2010-08-05,13.194306373596191
2010-08-06,13.114623069763184
2010-08-07,13.114623069763184
