Date,VIX,Spread,CDS,FSI
2018-06-08,12.180000305175781,3.45,15.54472541809082,-0.5792029721145114
2018-06-09,12.180000305175781,3.45,15.54472541809082,-0.5792029721145114
2018-06-10,12.180000305175781,3.45,15.54472541809082,-0.5792029721145114
2018-06-11,12.350000381469727,3.39,15.837615013122559,-0.5657042716712084
2018-06-12,12.34000015258789,3.38,15.766180992126465,-0.5737777134467671
2018-06-13,12.9399995803833,3.33,15.723316192626953,-0.5604161887111322
2018-06-14,12.119999885559082,3.31,15.623302459716797,-0.6124657214930505
2018-06-15,11.979999542236328,3.33,15.4089937210083,-0.6292264811282414
2018-06-16,11.979999542236328,3.33,15.4089937210083,-0.6292264811282414
2018-06-17,11.979999542236328,3.33,15.4089937210083,-0.6292264811282414
2018-06-18,12.3100004196167,3.34,15.294692993164062,-0.6186509407966849
2018-06-19,13.350000381469727,3.4,15.26794719696045,-0.5545666918330477
2018-06-20,12.789999961853027,3.34,15.26794719696045,-0.5971820283698491
2018-06-21,14.640000343322754,3.39,15.097063064575195,-0.5063952559826306
2018-06-22,13.770000457763672,3.39,15.290236473083496,-0.535129582532652
2018-06-23,13.770000457763672,3.39,15.290236473083496,-0.535129582532652
2018-06-24,13.770000457763672,3.39,15.290236473083496,-0.535129582532652
2018-06-25,17.329999923706055,3.47,15.059918403625488,-0.3576515200496449
2018-06-26,15.920000076293945,3.48,15.037628173828125,-0.4252485999007724
2018-06-27,17.90999984741211,3.56,14.76272964477539,-0.327281172212836
2018-06-28,16.850000381469727,3.64,14.881603240966797,-0.34998682348103616
2018-06-29,16.09000015258789,3.61,15.030194282531738,-0.38419270696268404
2018-06-30,16.09000015258789,3.71,15.030194282531738,-0.35857046658340597
2018-07-01,16.09000015258789,3.71,15.030194282531738,-0.35857046658340597
2018-07-02,15.600000381469727,3.78,14.92618465423584,-0.37178775727658114
2018-07-03,16.139999389648438,3.77,14.993048667907715,-0.34337770145030083
2018-07-04,16.139999389648438,3.77,14.993048667907715,-0.34337770145030083
2018-07-05,14.970000267028809,3.74,15.245656967163086,-0.39021186491165355
2018-07-06,13.369999885559082,3.74,15.297662734985352,-0.4643879494628334
2018-07-07,13.369999885559082,3.74,15.297662734985352,-0.4643879494628334
2018-07-08,13.369999885559082,3.74,15.297662734985352,-0.4643879494628334
2018-07-09,12.6899995803833,3.65,15.45368766784668,-0.509552563020467
2018-07-10,12.640000343322754,3.59,15.342242240905762,-0.5351973754936682
2018-07-11,13.630000114440918,3.66,15.059918403625488,-0.48896085408025397
2018-07-12,12.579999923706055,3.61,15.126782417297363,-0.5481473970701582
2018-07-13,12.180000305175781,3.62,15.141639709472656,-0.5639986285523021
2018-07-14,12.180000305175781,3.62,15.141639709472656,-0.5639986285523021
2018-07-15,12.180000305175781,3.62,15.141639709472656,-0.5639986285523021
2018-07-16,12.829999923706055,3.59,15.223367691040039,-0.5343163426335414
2018-07-17,12.0600004196167,3.58,15.186219215393066,-0.5769493160516163
2018-07-18,12.100000381469727,3.56,15.156498908996582,-0.5822184678971061
2018-07-19,12.869999885559082,3.59,15.089630126953125,-0.5417777277462579
2018-07-20,12.859999656677246,3.55,15.186219215393066,-0.5457189225704956
2018-07-21,12.859999656677246,3.55,15.186219215393066,-0.5457189225704956
2018-07-22,12.859999656677246,3.55,15.186219215393066,-0.5457189225704956
2018-07-23,12.619999885559082,3.5,15.260516166687012,-0.5649790381449031
2018-07-24,12.40999984741211,3.47,15.45368766784668,-0.5692935686613839
2018-07-25,12.289999961853027,3.48,15.5131254196167,-0.5683879916112422
2018-07-26,12.140000343322754,3.42,15.401677131652832,-0.5988976617275167
2018-07-27,13.029999732971191,3.42,15.446259498596191,-0.5524664449160434
2018-07-28,13.029999732971191,3.42,15.446259498596191,-0.5524664449160434
2018-07-29,13.029999732971191,3.42,15.446259498596191,-0.5524664449160434
2018-07-30,14.260000228881836,3.43,15.60970687866211,-0.4785720938035074
2018-07-31,12.829999923706055,3.46,15.698862075805664,-0.5341784889744984
2018-08-01,13.149999618530273,3.43,15.594849586486816,-0.5336146807812201
2018-08-02,12.1899995803833,3.43,15.342242240905762,-0.5980838674886487
2018-08-03,11.640000343322754,3.43,15.371955871582031,-0.6227492510146205
2018-08-04,11.640000343322754,3.43,15.371955871582031,-0.6227492510146205
2018-08-05,11.640000343322754,3.43,15.371955871582031,-0.6227492510146205
2018-08-06,11.270000457763672,3.43,15.253087043762207,-0.6491097615763081
2018-08-07,10.930000305175781,3.35,15.364532470703125,-0.6783081435134114
2018-08-08,10.850000381469727,3.37,15.394248008728027,-0.6749851803598489
2018-08-09,11.270000457763672,3.38,15.319954872131348,-0.6572173296521527
2018-08-10,13.15999984741211,3.5,14.874174118041992,-0.5658856944178362
2018-08-11,13.15999984741211,3.5,14.874174118041992,-0.5658856944178362
2018-08-12,13.15999984741211,3.5,14.874174118041992,-0.5658856944178362
2018-08-13,14.779999732971191,3.52,14.76272964477539,-0.4897932382812149
2018-08-14,13.3100004196167,3.48,14.718152046203613,-0.5746879115849236
2018-08-15,14.640000343322754,3.55,14.49526309967041,-0.5077309024931341
2018-08-16,13.449999809265137,3.49,14.614136695861816,-0.5726317714424976
2018-08-17,12.640000343322754,3.49,14.628995895385742,-0.6109901005132852
2018-08-18,12.640000343322754,3.49,14.628995895385742,-0.6109901005132852
2018-08-19,12.640000343322754,3.49,14.628995895385742,-0.6109901005132852
2018-08-20,12.489999771118164,3.52,14.695862770080566,-0.6058969279617896
2018-08-21,12.859999656677246,3.48,14.918753623962402,-0.582468296796549
2018-08-22,12.25,3.48,15.00047779083252,-0.6063940086021256
2018-08-23,12.40999984741211,3.47,14.82216739654541,-0.6137153568281116
2018-08-24,11.989999771118164,3.46,14.948470115661621,-0.6278247997818304
2018-08-25,11.989999771118164,3.46,14.948470115661621,-0.6278247997818304
2018-08-26,11.989999771118164,3.46,14.948470115661621,-0.6278247997818304
2018-08-27,12.15999984741211,3.43,15.16392707824707,-0.6120861185694786
2018-08-28,12.5,3.4,15.082204818725586,-0.6089814427528923
2018-08-29,12.25,3.39,15.156498908996582,-0.6184793383410346
2018-08-30,13.529999732971191,3.44,14.948470115661621,-0.5580338269982931
2018-08-31,12.859999656677246,3.49,14.799877166748047,-0.5882679655439566
