Date,mean,mean_se,mean_ci_lower,mean_ci_upper
2025-11-28,0.8907409171395966,0.07854926929054243,0.7367871783181954,1.0446946559609978
2025-11-29,0.8927026428289359,0.10682153182484255,0.6833362876788452,1.1020689979790266
2025-11-30,0.8943729840350877,0.12905711317864538,0.6414256902562332,1.1473202778139422
2025-12-01,0.8907836151902462,0.14930225675786646,0.5981565691342761,1.1834106612462163
2025-12-02,0.8865501626190249,0.16653718569809106,0.5601432765641075,1.2129570486739423
2025-12-03,0.886040731304185,0.18063821326434507,0.5319963390744032,1.2400851235339667
2025-12-04,0.8867012738169706,0.19322057533066486,0.5079959050967591,1.2654066425371822
2025-12-05,0.8849503392391522,0.205332594769016,0.4825058486397234,1.2873948298385811
2025-12-06,0.881996182465365,0.21663635418034416,0.4573967305298273,1.3065956344009027
2025-12-07,0.8806183975099275,0.22670980101801166,0.4362753525723826,1.3249614424474725
2025-12-08,0.8804322546786209,0.2359135910884394,0.41805011268177017,1.3428143966754715
2025-12-09,0.8793743044918736,0.24474055203409037,0.3996916369486054,1.3590569720351418
2025-12-10,0.8773601418904422,0.25318322001853066,0.38113014916424165,1.3735901346166428
2025-12-11,0.8758548746971152,0.26102333122738364,0.364258546366774,1.3874512030274564
2025-12-12,0.8751729000790183,0.2683168122043137,0.34928161171196614,1.4010641884460704
2025-12-13,0.874316116595804,0.2752872893859602,0.3347629439976665,1.4138692891939415
2025-12-14,0.8728839041423647,0.28199890313251774,0.3201762103228305,1.425591597961899
2025-12-15,0.8715217665533858,0.28836608559426935,0.3063346244258234,1.4367089086809481
2025-12-16,0.8706285052053204,0.2943767854544117,0.29366060782999903,1.4475964025806418
2025-12-17,0.8698091212555125,0.30012523558599696,0.2815744686553594,1.4580437738556655
2025-12-18,0.8687075240440159,0.3056703250659816,0.26960469577204105,1.4678103523159907
2025-12-19,0.8675441919813878,0.31098929464053243,0.258016374908429,1.4770720090543465
2025-12-20,0.8666120800291844,0.316065573608171,0.24713493900417582,1.486089221054193
2025-12-21,0.8658029410827458,0.3209359806684291,0.2367799776295817,1.4948259045359098
2025-12-22,0.864886684542743,0.3256398194197787,0.2266443665478498,1.5031290025376363
2025-12-23,0.8639000040211277,0.33017853762268584,0.21676196181256013,1.5110380462296953
2025-12-24,0.8630135185512259,0.33454341743161886,0.20732046912030355,1.5187065679821483
2025-12-25,0.8622296956349705,0.3387482042629092,0.19829541545205087,1.5261639758178902
2025-12-26,0.8614256232449234,0.3428159913491542,0.18951862687618648,1.5333326196136605
2025-12-27,0.8605772782357614,0.34675490452091523,0.1809501539121423,1.5402044025593804
